estabelecimento_codigo_ibge_municipio,paciente_grupo,n,uf
1101302,Faixa Etária,20,RO
1101302,Povos Indígenas,68,RO
1101302,Trabalhadores de Saúde,62,RO
1101401,Trabalhadores de Saúde,84,RO
1101435,Faixa Etária,13,RO
1101435,Trabalhadores de Saúde,60,RO
1101450,Trabalhadores de Saúde,40,RO
1101468,Faixa Etária,6,RO
1101468,Trabalhadores de Saúde,68,RO
1101476,Trabalhadores de Saúde,48,RO
1101484,Faixa Etária,14,RO
1101484,Trabalhadores de Saúde,60,RO
1101492,Faixa Etária,16,RO
1101492,Trabalhadores da Educação,1,RO
1101492,Trabalhadores de Saúde,159,RO
1101609,Faixa Etária,53,RO
1101609,Trabalhadores de Saúde,140,RO
1101708,Faixa Etária,32,RO
1101708,Trabalhadores de Saúde,128,RO
1101757,Trabalhadores de Saúde,41,RO
1101807,Faixa Etária,5,RO
1101807,Trabalhadores de Saúde,75,RO
1200013,Faixa Etária,10,AC
1200013,Trabalhadores de Saúde,107,AC
1200054,Faixa Etária,10,AC
1200054,Povos Indígenas,351,AC
1200054,Trabalhadores de Saúde,87,AC
1200104,Faixa Etária,20,AC
1200104,Trabalhadores de Saúde,216,AC
1200138,Faixa Etária,17,AC
1200138,Trabalhadores de Saúde,58,AC
1200179,Faixa Etária,9,AC
1200179,Trabalhadores de Saúde,41,AC
1200203,Faixa Etária,208,AC
1200203,Pessoas de 60 anos ou mais institucionalizadas,41,AC
1200203,Povos Indígenas,105,AC
1200203,Trabalhadores de Saúde,1815,AC
1200252,Faixa Etária,61,AC
1200252,Pessoas com Deficiência,5,AC
1200252,Trabalhadores de Saúde,42,AC
1200302,Faixa Etária,48,AC
1200302,Pessoas com Deficiência,1,AC
1200302,Povos Indígenas,673,AC
1200302,Trabalhadores de Saúde,264,AC
1200328,Faixa Etária,11,AC
1200328,Povos Indígenas,230,AC
1200328,Trabalhadores de Saúde,84,AC
1200336,Faixa Etária,2,AC
1200336,Povos Indígenas,354,AC
1200336,Trabalhadores de Saúde,237,AC
1200344,Faixa Etária,6,AC
1200344,Povos Indígenas,120,AC
1200344,Trabalhadores de Saúde,90,AC
1200344,Trabalhadores Portuários,1,AC
1200351,Povos Indígenas,515,AC
1200351,Trabalhadores de Saúde,125,AC
1200385,Trabalhadores de Saúde,137,AC
1200393,Faixa Etária,10,AC
1200393,Povos Indígenas,151,AC
1200393,Trabalhadores de Saúde,96,AC
1200401,Pessoas com Deficiência,15,AC
1200401,Pessoas de 60 anos ou mais institucionalizadas,103,AC
1200401,Povos Indígenas,16,AC
1200401,Trabalhadores da Educação,1,AC
1200401,Trabalhadores de Saúde,3618,AC
1200427,Comorbidades,1,AC
1200427,Faixa Etária,9,AC
1200427,Trabalhadores de Saúde,136,AC
1200435,Faixa Etária,10,AC
1200435,Povos Indígenas,353,AC
1200435,Trabalhadores de Saúde,111,AC
1200450,Faixa Etária,22,AC
1200450,Trabalhadores de Saúde,166,AC
1200500,Faixa Etária,38,AC
1200500,Pessoas de 60 anos ou mais institucionalizadas,1,AC
1200500,Povos Indígenas,1,AC
1200500,Trabalhadores de Saúde,344,AC
1200609,Pessoas de 60 anos ou mais institucionalizadas,12,AC
1200609,Povos Indígenas,494,AC
1200609,Trabalhadores de Saúde,288,AC
1200708,Faixa Etária,18,AC
1200708,Trabalhadores de Saúde,111,AC
1200708,Trabalhadores Portuários,1,AC
1200807,Faixa Etária,1,AC
1200807,Trabalhadores de Saúde,62,AC
1300029,Comorbidades,42,AM
1300029,Faixa Etária,158,AM
1300029,Povos Indígenas,568,AM
1300029,Trabalhadores de Saúde,177,AM
1300060,Faixa Etária,15,AM
1300060,Pessoas de 60 anos ou mais institucionalizadas,9,AM
1300060,Povos Indígenas,332,AM
1300060,Trabalhadores de Saúde,10,AM
1300086,Comorbidades,3,AM
1300086,Faixa Etária,135,AM
1300086,Povos Indígenas,145,AM
1300086,Trabalhadores de Saúde,154,AM
1300102,Comorbidades,27,AM
1300102,Faixa Etária,321,AM
1300102,Trabalhadores de Saúde,40,AM
1300201,Faixa Etária,83,AM
1300201,Povos Indígenas,702,AM
1300201,Trabalhadores de Saúde,236,AM
1300300,Faixa Etária,547,AM
1300300,Pessoas de 60 anos ou mais institucionalizadas,1,AM
1300300,Povos Indígenas,1568,AM
1300300,Trabalhadores de Saúde,313,AM
1300409,Faixa Etária,21,AM
1300409,Povos Indígenas,8,AM
1300409,Trabalhadores de Saúde,96,AM
1300508,Faixa Etária,776,AM
1300508,Povos Indígenas,942,AM
1300508,Trabalhadores de Saúde,306,AM
1300607,Faixa Etária,543,AM
1300607,Povos Indígenas,3730,AM
1300607,Trabalhadores de Saúde,387,AM
1300631,Comorbidades,1,AM
1300631,Faixa Etária,204,AM
1300631,Povos Indígenas,238,AM
1300631,Trabalhadores de Saúde,107,AM
1300680,Trabalhadores de Saúde,148,AM
1300706,Faixa Etária,119,AM
1300706,Povos Indígenas,212,AM
1300706,Trabalhadores de Saúde,178,AM
1300805,Faixa Etária,577,AM
1300805,Forças de Segurança e Salvamento,1,AM
1300805,Pessoas de 60 anos ou mais institucionalizadas,1,AM
1300805,Povos Indígenas,609,AM
1300805,Trabalhadores de Saúde,285,AM
1300839,Faixa Etária,158,AM
1300839,Trabalhadores de Saúde,145,AM
1300904,Comorbidades,7,AM
1300904,Faixa Etária,126,AM
1300904,Pessoas com Deficiência,1,AM
1300904,Trabalhadores de Saúde,86,AM
1301001,Faixa Etária,527,AM
1301001,Povos Indígenas,143,AM
1301001,Trabalhadores de Saúde,181,AM
1301100,Comorbidades,5,AM
1301100,Faixa Etária,466,AM
1301100,Povos Indígenas,206,AM
1301100,Trabalhadores de Saúde,302,AM
1301159,Faixa Etária,114,AM
1301159,Trabalhadores de Saúde,80,AM
1301308,Faixa Etária,166,AM
1301308,Trabalhadores de Saúde,111,AM
1301407,Trabalhadores de Saúde,318,AM
1301506,Faixa Etária,552,AM
1301506,Pessoas com Deficiência,1,AM
1301506,Povos Indígenas,165,AM
1301506,Trabalhadores de Saúde,253,AM
1301654,Faixa Etária,38,AM
1301654,Trabalhadores de Saúde,72,AM
1301704,Faixa Etária,984,AM
1301704,Povos Indígenas,547,AM
1301704,Trabalhadores de Saúde,672,AM
1301803,Faixa Etária,177,AM
1301803,Povos Indígenas,2,AM
1301803,Trabalhadores de Saúde,242,AM
1301852,Faixa Etária,208,AM
1301852,Forças de Segurança e Salvamento,1,AM
1301852,Pessoas de 60 anos ou mais institucionalizadas,5,AM
1301852,Trabalhadores de Saúde,290,AM
1301902,Faixa Etária,1554,AM
1301902,Povos Indígenas,1,AM
1301902,Trabalhadores de Saúde,667,AM
1301951,Faixa Etária,34,AM
1301951,Trabalhadores de Saúde,81,AM
1302009,Trabalhadores de Saúde,51,AM
1302108,Faixa Etária,37,AM
1302108,Trabalhadores de Saúde,46,AM
1302306,Trabalhadores de Saúde,32,AM
1302405,Faixa Etária,638,AM
1302405,Pessoas de 60 anos ou mais institucionalizadas,8,AM
1302405,Povos Indígenas,1428,AM
1302405,Trabalhadores de Saúde,510,AM
1302504,Faixa Etária,186,AM
1302504,Povos Indígenas,157,AM
1302504,Trabalhadores de Saúde,375,AM
1302553,Faixa Etária,30,AM
1302553,Povos Indígenas,12,AM
1302553,Trabalhadores de Saúde,98,AM
1302603,Pessoas de 60 anos ou mais institucionalizadas,1,AM
1302603,Povos Indígenas,3454,AM
1302603,Trabalhadores de Saúde,566,AM
1302900,Faixa Etária,912,AM
1302900,Povos Indígenas,1023,AM
1302900,Trabalhadores de Saúde,301,AM
1303007,Faixa Etária,280,AM
1303007,Povos Indígenas,261,AM
1303007,Trabalhadores de Saúde,193,AM
1303106,Faixa Etária,51,AM
1303106,Povos Indígenas,139,AM
1303106,Trabalhadores de Saúde,164,AM
1303205,Comorbidades,1,AM
1303205,Faixa Etária,195,AM
1303205,Povos Indígenas,63,AM
1303205,Trabalhadores de Saúde,153,AM
1303304,Comorbidades,2,AM
1303304,Faixa Etária,309,AM
1303304,Trabalhadores de Saúde,187,AM
1303403,Faixa Etária,978,AM
1303403,Povos Indígenas,313,AM
1303403,Trabalhadores de Saúde,657,AM
1303502,Faixa Etária,54,AM
1303502,Povos Indígenas,91,AM
1303502,Trabalhadores de Saúde,105,AM
1303536,Faixa Etária,274,AM
1303536,Povos Indígenas,1,AM
1303536,Trabalhadores de Saúde,475,AM
1303569,Povos Indígenas,129,AM
1303569,Trabalhadores de Saúde,96,AM
1303601,Faixa Etária,168,AM
1303601,Povos Indígenas,197,AM
1303601,Trabalhadores de Saúde,209,AM
1303700,Faixa Etária,181,AM
1303700,Povos Indígenas,707,AM
1303700,Trabalhadores de Saúde,29,AM
1303809,Faixa Etária,413,AM
1303809,Trabalhadores de Saúde,279,AM
1303908,Comorbidades,34,AM
1303908,Faixa Etária,130,AM
1303908,Povos Indígenas,1877,AM
1303908,Trabalhadores de Saúde,275,AM
1303957,Faixa Etária,181,AM
1303957,Trabalhadores de Saúde,152,AM
1304005,Faixa Etária,178,AM
1304005,Povos Indígenas,51,AM
1304005,Trabalhadores de Saúde,174,AM
1304062,Faixa Etária,68,AM
1304062,Forças Armadas (membros ativos),8,AM
1304062,Povos Indígenas,1904,AM
1304062,Trabalhadores de Saúde,671,AM
1304104,Faixa Etária,36,AM
1304104,Trabalhadores de Saúde,97,AM
1304203,Povos Indígenas,986,AM
1304203,Trabalhadores de Saúde,483,AM
1304237,Povos Indígenas,601,AM
1304237,Trabalhadores de Saúde,17,AM
1304260,Faixa Etária,1,AM
1304260,Trabalhadores de Saúde,11,AM
1304302,Povos Indígenas,82,AM
1304302,Trabalhadores de Saúde,84,AM
1400027,Faixa Etária,2,RR
1400027,Povos Indígenas,15,RR
1400027,Trabalhadores de Saúde,87,RR
1400050,Povos Indígenas,107,RR
1400050,Trabalhadores de Saúde,39,RR
1400100,Faixa Etária,313,RR
1400100,Pessoas de 60 anos ou mais institucionalizadas,4,RR
1400100,Povos Indígenas,12,RR
1400100,Trabalhadores de Saúde,6722,RR
1400159,Faixa Etária,2,RR
1400159,Trabalhadores de Saúde,180,RR
1400175,Trabalhadores de Saúde,155,RR
1400209,Faixa Etária,13,RR
1400209,Pessoas de 60 anos ou mais institucionalizadas,1,RR
1400209,Povos Indígenas,1,RR
1400209,Trabalhadores de Saúde,246,RR
1400233,Faixa Etária,17,RR
1400233,Trabalhadores de Saúde,149,RR
1400282,Faixa Etária,8,RR
1400282,Trabalhadores de Saúde,135,RR
1400308,Faixa Etária,86,RR
1400308,Trabalhadores de Saúde,236,RR
1400407,Faixa Etária,1,RR
1400407,Trabalhadores de Saúde,95,RR
1400456,Faixa Etária,3,RR
1400456,Trabalhadores de Saúde,156,RR
1400472,Pessoas de 60 anos ou mais institucionalizadas,47,RR
1400472,Trabalhadores de Saúde,515,RR
1400506,Faixa Etária,12,RR
1400506,Pessoas de 60 anos ou mais institucionalizadas,1,RR
1400506,Trabalhadores de Saúde,84,RR
1400605,Trabalhadores de Saúde,166,RR
1400704,Pessoas de 60 anos ou mais institucionalizadas,2,RR
1400704,Trabalhadores de Saúde,70,RR
1500107,Trabalhadores de Saúde,1455,PA
1500131,Trabalhadores de Saúde,73,PA
1500206,Faixa Etária,38,PA
1500206,Pessoas de 60 anos ou mais institucionalizadas,2,PA
1500206,Trabalhadores de Saúde,315,PA
1500305,Trabalhadores de Saúde,299,PA
1500347,Trabalhadores de Saúde,137,PA
1500404,Faixa Etária,531,PA
1500404,Trabalhadores de Saúde,432,PA
1500503,Faixa Etária,178,PA
1500503,Trabalhadores de Saúde,298,PA
1500602,Comorbidades,3,PA
1500602,Faixa Etária,1,PA
1500602,Pessoas de 60 anos ou mais institucionalizadas,17,PA
1500602,Trabalhadores de Saúde,1767,PA
1500701,Faixa Etária,29,PA
1500701,Trabalhadores de Saúde,180,PA
1500800,Faixa Etária,83,PA
1500800,Pessoas de 60 anos ou mais institucionalizadas,188,PA
1500800,Povos e Comunidades Tradicionais,194,PA
1500800,Trabalhadores de Saúde,2881,PA
1500859,Povos Indígenas,94,PA
1500859,Trabalhadores de Saúde,151,PA
1500909,Faixa Etária,2,PA
1500909,Trabalhadores de Saúde,318,PA
1500958,Trabalhadores de Saúde,191,PA
1501006,Faixa Etária,36,PA
1501006,Povos Indígenas,54,PA
1501006,Trabalhadores de Saúde,106,PA
1501105,Trabalhadores de Saúde,195,PA
1501204,Trabalhadores de Saúde,188,PA
1501253,Trabalhadores de Saúde,49,PA
1501303,Faixa Etária,34,PA
1501303,Pessoas de 60 anos ou mais institucionalizadas,1,PA
1501303,Trabalhadores de Saúde,1733,PA
1501402,Faixa Etária,6256,PA
1501402,Forças de Segurança e Salvamento,8,PA
1501402,Pessoas de 60 anos ou mais institucionalizadas,194,PA
1501402,Povos e Comunidades Tradicionais,3,PA
1501402,Povos Indígenas,29,PA
1501402,Trabalhadores de Saúde,7746,PA
1501451,Faixa Etária,42,PA
1501451,Trabalhadores de Saúde,107,PA
1501501,Faixa Etária,11,PA
1501501,Trabalhadores de Saúde,498,PA
1501576,Trabalhadores de Saúde,176,PA
1501600,Trabalhadores de Saúde,118,PA
1501709,Trabalhadores de Saúde,1392,PA
1501725,Pessoas de 60 anos ou mais institucionalizadas,6,PA
1501725,Trabalhadores de Saúde,96,PA
1501758,Trabalhadores de Saúde,83,PA
1501782,Pessoas de 60 anos ou mais institucionalizadas,5,PA
1501782,Trabalhadores de Saúde,307,PA
1501808,Faixa Etária,16,PA
1501808,Trabalhadores de Saúde,753,PA
1501907,Faixa Etária,10,PA
1501907,Trabalhadores de Saúde,156,PA
1501956,Faixa Etária,7,PA
1501956,Trabalhadores de Saúde,143,PA
1502004,Faixa Etária,9,PA
1502004,Trabalhadores de Saúde,153,PA
1502103,Trabalhadores de Saúde,775,PA
1502152,Trabalhadores de Saúde,608,PA
1502202,Pessoas de 60 anos ou mais institucionalizadas,17,PA
1502202,Trabalhadores de Saúde,1141,PA
1502301,Povos Indígenas,452,PA
1502301,Trabalhadores de Saúde,524,PA
1502400,Faixa Etária,55,PA
1502400,Pessoas de 60 anos ou mais institucionalizadas,39,PA
1502400,Trabalhadores de Saúde,2639,PA
1502509,Faixa Etária,3,PA
1502509,Forças de Segurança e Salvamento,4,PA
1502509,Pessoas de 60 anos ou mais institucionalizadas,4,PA
1502509,Trabalhadores de Saúde,131,PA
1502608,Trabalhadores de Saúde,113,PA
1502707,Faixa Etária,171,PA
1502707,Trabalhadores de Saúde,839,PA
1502756,Comorbidades,7,PA
1502756,Faixa Etária,5,PA
1502756,Povos e Comunidades Tradicionais,2,PA
1502756,Trabalhadores de Saúde,223,PA
1502764,Povos Indígenas,1,PA
1502764,Trabalhadores de Saúde,57,PA
1502772,Pessoas de 60 anos ou mais institucionalizadas,5,PA
1502772,Trabalhadores de Saúde,71,PA
1502806,Faixa Etária,44,PA
1502806,Trabalhadores de Saúde,263,PA
1502855,Faixa Etária,78,PA
1502855,Trabalhadores de Saúde,87,PA
1502905,Faixa Etária,6,PA
1502905,Trabalhadores de Saúde,502,PA
1502939,Trabalhadores de Saúde,334,PA
1502954,Trabalhadores de Saúde,193,PA
1503002,Faixa Etária,84,PA
1503002,Trabalhadores de Saúde,154,PA
1503044,Faixa Etária,1,PA
1503044,Trabalhadores de Saúde,132,PA
1503077,Trabalhadores de Saúde,302,PA
1503093,Povos Indígenas,15,PA
1503093,Trabalhadores de Saúde,145,PA
1503101,Trabalhadores de Saúde,313,PA
1503200,Pessoas de 60 anos ou mais institucionalizadas,7,PA
1503200,Trabalhadores de Saúde,367,PA
1503309,Pessoas de 60 anos ou mais institucionalizadas,30,PA
1503309,Trabalhadores de Saúde,469,PA
1503408,Trabalhadores de Saúde,141,PA
1503457,Faixa Etária,14,PA
1503457,Trabalhadores de Saúde,450,PA
1503507,Comorbidades,1,PA
1503507,Faixa Etária,16,PA
1503507,Trabalhadores de Saúde,222,PA
1503606,Faixa Etária,369,PA
1503606,Pessoas de 60 anos ou mais institucionalizadas,22,PA
1503606,Povos Indígenas,96,PA
1503606,Trabalhadores de Saúde,969,PA
1503705,Pessoas de 60 anos ou mais institucionalizadas,12,PA
1503705,Trabalhadores de Saúde,290,PA
1503754,Comorbidades,5,PA
1503754,Povos Indígenas,286,PA
1503754,Trabalhadores de Saúde,60,PA
1503804,Trabalhadores de Saúde,295,PA
1503903,Trabalhadores de Saúde,143,PA
1504000,Trabalhadores de Saúde,139,PA
1504059,Trabalhadores de Saúde,278,PA
1504109,Trabalhadores de Saúde,74,PA
1504208,Trabalhadores de Saúde,421,PA
1504307,Trabalhadores de Saúde,202,PA
1504406,Comorbidades,1,PA
1504406,Faixa Etária,261,PA
1504406,Forças de Segurança e Salvamento,4,PA
1504406,Trabalhadores de Saúde,121,PA
1504422,Faixa Etária,26,PA
1504422,Pessoas de 60 anos ou mais institucionalizadas,76,PA
1504422,Trabalhadores de Saúde,1488,PA
1504455,Faixa Etária,1,PA
1504455,Pessoas de 60 anos ou mais institucionalizadas,7,PA
1504455,Trabalhadores de Saúde,262,PA
1504505,Forças de Segurança e Salvamento,1,PA
1504505,Trabalhadores de Saúde,185,PA
1504604,Trabalhadores de Saúde,201,PA
1504703,Faixa Etária,23,PA
1504703,Trabalhadores de Saúde,199,PA
1504802,Faixa Etária,674,PA
1504802,Trabalhadores de Saúde,317,PA
1504901,Pessoas de 60 anos ou mais institucionalizadas,11,PA
1504901,Trabalhadores de Saúde,200,PA
1504950,Trabalhadores de Saúde,149,PA
1504976,Faixa Etária,10,PA
1504976,Trabalhadores de Saúde,120,PA
1505007,Trabalhadores de Saúde,28,PA
1505031,Faixa Etária,19,PA
1505031,Povos Indígenas,13,PA
1505031,Trabalhadores de Saúde,252,PA
1505064,Trabalhadores de Saúde,453,PA
1505106,Faixa Etária,403,PA
1505106,Trabalhadores de Saúde,205,PA
1505205,Trabalhadores de Saúde,145,PA
1505304,Faixa Etária,613,PA
1505304,Povos Indígenas,1065,PA
1505304,Trabalhadores de Saúde,553,PA
1505403,Trabalhadores de Saúde,65,PA
1505437,Faixa Etária,1,PA
1505437,Pessoas de 60 anos ou mais institucionalizadas,9,PA
1505437,Trabalhadores de Saúde,232,PA
1505486,Faixa Etária,9,PA
1505486,Trabalhadores de Saúde,180,PA
1505494,Trabalhadores de Saúde,90,PA
1505502,Faixa Etária,15,PA
1505502,Pessoas de 60 anos ou mais institucionalizadas,17,PA
1505502,Trabalhadores de Saúde,1344,PA
1505536,Faixa Etária,7,PA
1505536,Pessoas com Deficiência,1,PA
1505536,Pessoas de 60 anos ou mais institucionalizadas,13,PA
1505536,Trabalhadores de Saúde,1894,PA
1505551,Pessoas de 60 anos ou mais institucionalizadas,1,PA
1505551,Trabalhadores de Saúde,49,PA
1505635,Trabalhadores de Saúde,108,PA
1505650,Faixa Etária,27,PA
1505650,Trabalhadores de Saúde,141,PA
1505700,Faixa Etária,95,PA
1505700,Trabalhadores de Saúde,237,PA
1505809,Trabalhadores de Saúde,294,PA
1505908,Forças de Segurança e Salvamento,3,PA
1505908,Trabalhadores de Saúde,227,PA
1506005,Faixa Etária,254,PA
1506005,Trabalhadores de Saúde,228,PA
1506104,Trabalhadores de Saúde,143,PA
1506112,Trabalhadores de Saúde,98,PA
1506138,Pessoas de 60 anos ou mais institucionalizadas,38,PA
1506138,Trabalhadores de Saúde,1156,PA
1506161,Trabalhadores de Saúde,151,PA
1506187,Forças de Segurança e Salvamento,41,PA
1506187,Trabalhadores de Saúde,314,PA
1506195,Faixa Etária,154,PA
1506195,Trabalhadores de Saúde,420,PA
1506203,Trabalhadores de Saúde,324,PA
1506302,Pessoas de 60 anos ou mais institucionalizadas,2,PA
1506302,Trabalhadores de Saúde,128,PA
1506351,Trabalhadores de Saúde,203,PA
1506401,Trabalhadores de Saúde,94,PA
1506500,Faixa Etária,3,PA
1506500,Pessoas de 60 anos ou mais institucionalizadas,42,PA
1506500,Trabalhadores de Saúde,574,PA
1506559,Trabalhadores de Saúde,163,PA
1506583,Faixa Etária,1,PA
1506583,Pessoas de 60 anos ou mais institucionalizadas,1,PA
1506583,Trabalhadores de Saúde,112,PA
1506609,Faixa Etária,6,PA
1506609,Pessoas de 60 anos ou mais institucionalizadas,18,PA
1506609,Povos Indígenas,150,PA
1506609,Trabalhadores de Saúde,177,PA
1506708,Pessoas de 60 anos ou mais institucionalizadas,13,PA
1506708,Trabalhadores de Saúde,143,PA
1506807,Faixa Etária,974,PA
1506807,Pessoas de 60 anos ou mais institucionalizadas,51,PA
1506807,Povos Indígenas,2091,PA
1506807,Trabalhadores de Saúde,408,PA
1506906,Trabalhadores de Saúde,65,PA
1507003,Comorbidades,2,PA
1507003,Trabalhadores de Saúde,181,PA
1507102,Trabalhadores de Saúde,127,PA
1507151,Trabalhadores de Saúde,211,PA
1507201,Faixa Etária,11,PA
1507201,Trabalhadores de Saúde,246,PA
1507300,Povos Indígenas,4,PA
1507300,Trabalhadores de Saúde,351,PA
1507409,Trabalhadores de Saúde,192,PA
1507458,Trabalhadores de Saúde,130,PA
1507466,Trabalhadores de Saúde,59,PA
1507474,Faixa Etária,10,PA
1507474,Trabalhadores de Saúde,179,PA
1507508,Trabalhadores de Saúde,101,PA
1507607,Trabalhadores de Saúde,444,PA
1507706,Faixa Etária,28,PA
1507706,Trabalhadores de Saúde,199,PA
1507755,Pessoas com Deficiência,1,PA
1507755,Pessoas de 60 anos ou mais institucionalizadas,7,PA
1507755,Trabalhadores de Saúde,57,PA
1507805,Povos Indígenas,1,PA
1507805,Trabalhadores de Saúde,117,PA
1507904,Faixa Etária,134,PA
1507904,Trabalhadores de Saúde,198,PA
1507953,Pessoas de 60 anos ou mais institucionalizadas,1,PA
1507953,Trabalhadores de Saúde,536,PA
1507961,Trabalhadores de Saúde,123,PA
1507979,Faixa Etária,171,PA
1507979,Trabalhadores de Saúde,156,PA
1508001,Pessoas de 60 anos ou mais institucionalizadas,4,PA
1508001,Povos Indígenas,177,PA
1508001,Trabalhadores de Saúde,331,PA
1508035,Trabalhadores de Saúde,262,PA
1508050,Faixa Etária,57,PA
1508050,Povos Indígenas,2,PA
1508050,Trabalhadores de Saúde,152,PA
1508084,Faixa Etária,2,PA
1508084,Trabalhadores de Saúde,208,PA
1508100,Pessoas de 60 anos ou mais institucionalizadas,11,PA
1508100,Povos Indígenas,334,PA
1508100,Trabalhadores de Saúde,1329,PA
1508126,Trabalhadores de Saúde,385,PA
1508159,Faixa Etária,10,PA
1508159,Trabalhadores da Educação,1,PA
1508159,Trabalhadores de Saúde,243,PA
1508209,Trabalhadores de Saúde,188,PA
1508308,Trabalhadores de Saúde,359,PA
1508357,Povos Indígenas,196,PA
1508357,Trabalhadores de Saúde,244,PA
1508407,Faixa Etária,1,PA
1508407,Pessoas de 60 anos ou mais institucionalizadas,10,PA
1508407,Trabalhadores de Saúde,494,PA
1600055,Trabalhadores de Saúde,105,AP
1600105,Faixa Etária,34,AP
1600105,Trabalhadores de Saúde,110,AP
1600154,Faixa Etária,16,AP
1600154,Trabalhadores de Saúde,207,AP
1600204,Trabalhadores de Saúde,154,AP
1600212,Trabalhadores de Saúde,125,AP
1600238,Faixa Etária,20,AP
1600238,Trabalhadores de Saúde,135,AP
1600253,Trabalhadores de Saúde,60,AP
1600279,Faixa Etária,310,AP
1600279,Forças de Segurança e Salvamento,1,AP
1600279,Trabalhadores de Saúde,563,AP
1600303,Povos Indígenas,246,AP
1600303,Trabalhadores de Saúde,3063,AP
1600402,Faixa Etária,43,AP
1600402,Trabalhadores de Saúde,233,AP
1600501,Povos Indígenas,2722,AP
1600501,Trabalhadores de Saúde,133,AP
1600535,Trabalhadores de Saúde,171,AP
1600550,Trabalhadores de Saúde,60,AP
1600600,Pessoas com Deficiência,74,AP
1600600,Pessoas de 60 anos ou mais institucionalizadas,58,AP
1600600,Trabalhadores de Saúde,714,AP
1600709,Faixa Etária,10,AP
1600709,Trabalhadores de Saúde,184,AP
1600808,Faixa Etária,45,AP
1600808,Trabalhadores de Saúde,141,AP
1700251,Trabalhadores de Saúde,28,TO
1700301,Trabalhadores de Saúde,50,TO
